Код теста;Исследование ;Название в ЛИС;Состояние натощак;Исследуемый биоматериал;Номер контейнера;Важные ПРЕАНАЛИТИЧЕСКИЕ замечания ;Тип ПЕРВИЧНОГО контейнера;Тип контейнера для ХРАНЕНИЯ и ТРАНСПОРТИРОВКИ;Температура хранения и транспортировки;Правила взятия и пробоподготовки биоматериала
AN5;Общий анализ крови (флуоресцентная проточная цитометрия + микроскопия мазка при наличии патологических сдвигов);Общий анализ крови;12 ч;кровь с ЭДТА;808;доставить не позднее 72 часов после взятия;Пробирка с сиреневой крышкой / Калий ЭДТА;Пробирка с сиреневой крышкой / Калий ЭДТА; +2°С…+8°С;1. Взятие крови – пробирка с сиреневой  крышкой / Калий ЭДТА. Для мелких животных можно использовать пробирку с розовой крышкой. 2. Заполнить пробирку кровью СТРОГО до отметки на этикетке. 3. Осторожно перевернуть пробирку 7-10 раз для перемешивания крови с антикоагулянтом. 4. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента.
AN150CAT;Ретикулоциты кошек;Анализ ретикулоцитов. Определяемый вид: Агрегатные ретикулоциты кошек#comma# Пунктатные ретикулоциты кошек;12 ч;кровь с ЭДТА;808; доставить не позднее 72 часов после взятия;Пробирка с сиреневой крышкой / Калий ЭДТА;Пробирка с сиреневой крышкой / Калий ЭДТА; +2°С…+8°С;1. Взятие крови – пробирка с сиреневой  крышкой / Калий ЭДТА. Для мелких животных можно использовать пробирку с розовой крышкой. 2. Заполнить пробирку кровью СТРОГО до отметки на этикетке. 3. Осторожно перевернуть пробирку 7-10 раз для перемешивания крови с антикоагулянтом. 4. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента.
AN150DOG;Ретикулоциты собак;Ретикулоциты собак;12 ч;кровь с ЭДТА;808; доставить не позднее 72 часов после взятия;Пробирка с сиреневой крышкой / Калий ЭДТА;Пробирка с сиреневой крышкой / Калий ЭДТА; +2°С…+8°С;1. Взятие крови – пробирка с сиреневой  крышкой / Калий ЭДТА. Для мелких животных можно использовать пробирку с розовой крышкой. 2. Заполнить пробирку кровью СТРОГО до отметки на этикетке. 3. Осторожно перевернуть пробирку 7-10 раз для перемешивания крови с антикоагулянтом. 4. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента.
AN93CAT;Определение группы крови (кошки)#comma# экспресс-тест;Группа крови кошки;12 ч;кровь с ЭДТА;808; доставить не позднее 72 часов после взятия;Пробирка с сиреневой крышкой / Калий ЭДТА;Пробирка с сиреневой крышкой / Калий ЭДТА; +2°С…+8°С;1. Взятие крови – пробирка с сиреневой  крышкой / Калий ЭДТА. Для мелких животных можно использовать пробирку с розовой крышкой. 2. Заполнить пробирку кровью СТРОГО до отметки на этикетке. 3. Осторожно перевернуть пробирку 7-10 раз для перемешивания крови с антикоагулянтом. 4. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента.
AN93DOG;Определение группы крови (собаки)#comma# экспресс-тест;Группы крови собаки;12 ч;кровь с ЭДТА;808; доставить не позднее 72 часов после взятия;Пробирка с сиреневой крышкой / Калий ЭДТА;Пробирка с сиреневой крышкой / Калий ЭДТА; +2°С…+8°С;1. Взятие крови – пробирка с сиреневой  крышкой / Калий ЭДТА. Для мелких животных можно использовать пробирку с розовой крышкой. 2. Заполнить пробирку кровью СТРОГО до отметки на этикетке. 3. Осторожно перевернуть пробирку 7-10 раз для перемешивания крови с антикоагулянтом. 4. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента.
AN1PTT;АЧТВ ;АЧТВ ;12 ч;плазма крови (цитрат натрия);809;;Пробирка с голубой крышкой / Цитрат натрия 0#comma#108М (3#comma#2%);Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с голубой крышкой / Цитрат натрия 0#comma#108М (3#comma#2%).  2. Осторожно перевернуть пробирку 7-10 раз.   3. Сразу проверить на наличие сгустков + кровь до метки. Если сгустки либо не до метки – в лабораторию не отправлять#comma# перезабор. 4. Сразу центрифугировать 2000 g. 20 мин. Если после центрифугирования в плазме обнаруживается сгусток#comma# гемолиз – в лабораторию не отправлять#comma# перезабор. 5. Сразу отобрать плазму в  пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 7. Сразу заморозить при  -17°С...-23°С в вертикальном положении. 8. Заполнить направительный бланк#comma# указав код клиента.                                                                                                                    
AN2PT;Протромбиновое время;Протромбиновое время;12 ч;плазма крови (цитрат натрия);809;;Пробирка с голубой крышкой / Цитрат натрия 0#comma#108М (3#comma#2%);Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с голубой крышкой / Цитрат натрия 0#comma#108М (3#comma#2%).  2. Осторожно перевернуть пробирку 7-10 раз.   3. Сразу проверить на наличие сгустков + кровь до метки. Если сгустки либо не до метки – в лабораторию не отправлять#comma# перезабор. 4. Сразу центрифугировать 2000 g. 20 мин. Если после центрифугирования в плазме обнаруживается сгусток#comma# гемолиз – в лабораторию не отправлять#comma# перезабор. 5. Сразу отобрать плазму в  пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 7. Сразу заморозить при  -17°С...-23°С в вертикальном положении. 8. Заполнить направительный бланк#comma# указав код клиента.                                                                                                                    
AN3FIBR;Фибриноген ;Фибриноген ;12 ч;плазма крови (цитрат натрия);809;;Пробирка с голубой крышкой / Цитрат натрия 0#comma#108М (3#comma#2%);Пробирка с белой крышкой; -17°С…-23оС;1. Взятие крови – пробирка с голубой крышкой / Цитрат натрия 0#comma#108М (3#comma#2%).  2. Осторожно перевернуть пробирку 7-10 раз.   3. Сразу проверить на наличие сгустков + кровь до метки. Если сгустки либо не до метки – в лабораторию не отправлять#comma# перезабор. 4. Сразу центрифугировать 2000 g. 20 мин. Если после центрифугирования в плазме обнаруживается сгусток#comma# гемолиз – в лабораторию не отправлять#comma# перезабор. 5. Сразу отобрать плазму в  пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 7. Сразу заморозить при  -17°С...-23°С в вертикальном положении. 8. Заполнить направительный бланк#comma# указав код клиента.                                                                                                                    
AN4AT3;Антитромбин III ;Антитромбин III ;12 ч;плазма крови (цитрат натрия);809;;Пробирка с голубой крышкой / Цитрат натрия 0#comma#108М (3#comma#2%);Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с голубой крышкой / Цитрат натрия 0#comma#108М (3#comma#2%).  2. Осторожно перевернуть пробирку 7-10 раз.   3. Сразу проверить на наличие сгустков + кровь до метки. Если сгустки либо не до метки – в лабораторию не отправлять#comma# перезабор. 4. Сразу центрифугировать 2000 g. 20 мин. Если после центрифугирования в плазме обнаруживается сгусток#comma# гемолиз – в лабораторию не отправлять#comma# перезабор. 5. Сразу отобрать плазму в  пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 7. Сразу заморозить при  -17°С...-23°С в вертикальном положении. 8. Заполнить направительный бланк#comma# указав код клиента.                                                                                                                    
AN164DD;D-димер;D-димер;12 ч;плазма крови (цитрат натрия);809;;Пробирка с голубой крышкой / Цитрат натрия 0#comma#108М (3#comma#2%);Пробирка с белой крышкой; -17°С…-23оС;1. Взятие крови – пробирка с голубой крышкой / Цитрат натрия 0#comma#108М (3#comma#2%).  2. Осторожно перевернуть пробирку 7-10 раз.   3. Сразу проверить на наличие сгустков + кровь до метки. Если сгустки либо не до метки – в лабораторию не отправлять#comma# перезабор. 4. Сразу центрифугировать 2000 g. 20 мин. Если после центрифугирования в плазме обнаруживается сгусток#comma# гемолиз – в лабораторию не отправлять#comma# перезабор. 5. Сразу отобрать плазму в  пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 7. Сразу заморозить при  -17°С...-23°С в вертикальном положении. 8. Заполнить направительный бланк#comma# указав код клиента.                                                                                                                    
